Customer ID,Age,Gender,Annual Income,Spending Score
A0249,53,Male,170,28
A0250,74,Female,185,15
A0251,47,Male,70,66
A0252,50,Female,43,31
A0253,56,Male,124,54
A0254,86,Male,68,58
A0255,32,Female,163,64
A0256,34,Female,187,5
A0257,60,Female,100,94
A0258,34,Male,151,35
A0259,55,Female,127,31
A0260,38,Female,137,59
A0261,52,Male,152,91
A0262,26,Female,167,73
A0263,52,Female,69,68
A0264,72,Female,63,12
A0265,51,Female,47,88
A0266,27,Male,56,32
A0267,72,Female,62,23
A0268,63,Male,135,66
A0269,23,Female,59,58
A0270,84,Male,74,54
A0271,84,Male,191,29
A0272,60,Male,140,35
A0273,36,Male,46,2
A0274,78,Female,127,26
A0275,29,Female,143,44
A0276,56,Female,53,70
A0277,30,Male,49,15
A0278,85,Male,31,51
A0279,36,Male,34,78
A0280,71,Male,180,57
A0281,72,Female,82,28
A0282,72,Male,54,2
A0283,51,Female,176,67
A0284,67,Female,63,26
A0285,59,Male,111,52
A0286,41,Female,174,52
A0287,77,Female,159,43
A0288,34,Female,89,56
A0289,27,Male,179,97
A0290,45,Female,178,87
A0291,27,Male,52,41
A0292,33,Female,186,22
A0293,71,Female,35,38
A0294,74,Male,109,75
A0295,48,Male,31,47
A0296,87,Female,122,19
A0297,63,Male,73,10
A0298,63,Female,127,77
A0299,78,Male,160,80
A0300,83,Male,148,39
A0301,30,Female,145,100
A0302,66,Male,89,46
A0303,78,Male,133,19
A0304,21,Female,42,48
A0305,40,Male,180,23
A0306,64,Male,101,75
A0307,83,Male,180,80
A0308,46,Female,181,64
A0309,20,Male,74,96
A0310,81,Male,95,41
A0311,59,Male,56,96
A0312,39,Female,33,2
A0313,45,Male,61,29
A0314,39,Male,190,50
A0315,42,Female,64,51
A0316,84,Male,78,89
A0317,74,Male,190,65
A0318,18,Male,159,56
A0319,65,Male,119,93
A0320,22,Male,158,83
A0321,29,Male,148,82
A0322,71,Male,134,70
A0323,80,Male,190,21
A0324,89,Male,125,36
A0325,52,Female,168,92
A0326,41,Female,57,71
A0327,32,Female,113,8
A0328,44,Female,31,98
A0329,44,Female,149,49
A0330,81,Female,105,66
A0331,86,Male,96,35
A0332,27,Female,167,19
A0333,65,Male,156,49
A0334,78,Female,100,8
A0335,50,Male,164,73
A0336,19,Female,178,34
A0337,72,Male,196,11
A0338,63,Female,24,8
A0339,48,Female,66,10
A0340,87,Female,27,33
A0341,89,Female,188,44
A0342,61,Male,40,77
A0343,90,Female,114,2
A0344,44,Female,112,14
A0345,32,Male,35,6
A0346,67,Male,129,38
A0347,47,Male,87,17
A0348,46,Male,74,48
A0349,46,Female,130,23
A0350,26,Female,154,83
A0351,79,Female,118,80
A0352,26,Male,177,27
A0353,31,Female,44,55
A0354,43,Female,133,9
A0355,32,Female,176,2
A0356,72,Female,88,28
A0357,54,Female,103,49
A0358,41,Male,188,18
A0359,83,Male,122,97
A0360,60,Male,20,100
A0361,88,Female,172,69
A0362,86,Female,25,74
A0363,56,Female,55,78
A0364,84,Female,175,66
A0365,74,Male,88,49
A0366,27,Female,163,37
A0367,43,Male,172,76
A0368,87,Female,135,78
A0369,52,Male,29,3
A0370,83,Male,74,82
A0371,81,Male,146,90
A0372,75,Male,134,35
A0373,20,Female,150,89
A0374,61,Male,199,3
A0375,82,Female,160,44
A0376,40,Male,172,68
A0377,20,Female,132,25
A0378,22,Female,131,14
A0379,78,Male,51,84
A0380,31,Male,165,39
A0381,67,Male,158,14
A0382,75,Female,118,35
A0383,34,Female,178,42
A0384,22,Female,138,20
A0385,65,Male,81,10
A0386,64,Male,181,82
A0387,75,Female,72,78
A0388,22,Female,148,88
A0389,67,Female,66,21
A0390,29,Male,137,66
A0391,37,Male,193,74
A0392,44,Female,110,38
A0393,51,Male,178,18
A0394,33,Female,58,3
A0395,32,Female,57,64
A0396,18,Male,33,13
A0397,33,Female,149,52
A0398,19,Female,169,95
A0399,30,Female,93,60
A0400,73,Female,180,26
A0401,24,Female,53,86
A0402,24,Female,62,24
A0403,35,Female,180,1
A0404,34,Male,183,22
A0405,64,Female,176,68
A0406,80,Female,142,40
A0407,37,Female,132,22
A0408,64,Male,171,24
A0409,67,Female,149,79
A0410,26,Female,119,8
A0411,25,Female,127,23
A0412,67,Female,142,63
A0413,37,Male,161,92
A0414,53,Male,149,32
A0415,52,Female,57,13
A0416,46,Female,181,34
A0417,71,Male,63,75
A0418,86,Male,152,42
A0419,45,Male,71,12
A0420,55,Male,85,91
A0421,42,Male,193,89
A0422,19,Male,87,85
A0423,84,Female,144,1
A0424,60,Female,108,80
A0425,50,Male,48,28
A0426,49,Female,131,23
A0427,30,Female,99,4
A0428,54,Male,106,20
A0429,60,Female,20,91
A0430,51,Male,188,4
A0431,78,Male,94,75
A0432,63,Female,192,65
A0433,38,Male,93,96
A0434,67,Female,187,10
A0435,68,Male,139,60
A0436,36,Male,63,23
A0437,71,Male,84,27
A0438,83,Female,128,47
A0439,28,Male,155,58
A0440,58,Female,74,88
A0441,30,Male,187,67
A0442,37,Female,179,32
A0443,55,Male,129,39
A0444,21,Female,90,56
A0445,82,Male,156,49
A0446,37,Male,156,7
A0447,86,Female,71,59
A0448,33,Male,67,27
A0449,76,Female,128,49
A0450,51,Male,68,21
A0451,23,Male,187,53
A0452,83,Female,131,31
A0453,88,Male,116,39
A0454,36,Female,137,15
A0455,20,Female,158,72
A0456,46,Female,134,1
A0457,26,Female,124,86
A0458,31,Male,92,2
A0459,32,Male,90,6
A0460,39,Male,43,21
A0461,78,Male,135,86
A0462,86,Male,40,35
A0463,56,Female,80,3
A0464,34,Male,125,85
A0465,39,Female,44,46
A0466,33,Male,118,57
A0467,58,Male,104,47
A0468,81,Female,116,89
A0469,70,Female,149,28
A0470,34,Male,178,93
A0471,27,Male,169,64
A0472,72,Female,32,84
A0473,90,Male,189,1
A0474,77,Female,94,92
A0475,21,Female,115,55
A0476,48,Female,103,81
A0477,74,Female,111,95
A0478,50,Female,101,32
A0479,61,Female,109,22
A0480,45,Male,82,39
A0481,71,Male,193,63
A0482,72,Male,175,60
A0483,30,Male,195,27
A0484,55,Female,177,59
A0485,80,Male,198,28
A0486,20,Female,102,80
A0487,39,Male,56,44
A0488,48,Female,91,69
A0489,56,Female,42,42
A0490,54,Female,176,18
A0491,67,Male,110,22
A0492,34,Female,135,27
A0493,60,Male,143,93
A0494,44,Female,99,69
A0495,66,Female,40,32
A0496,40,Female,94,46
A0497,52,Male,25,48
A0498,60,Female,65,17
A0499,24,Male,149,24
A0500,75,Male,30,43
A0501,83,Male,173,52
A0502,44,Female,134,23
A0503,71,Female,127,42
A0504,86,Male,83,60
A0505,72,Male,151,8
A0506,70,Male,55,22
A0507,71,Female,96,43
A0508,46,Male,107,5
A0509,36,Male,162,9
A0510,39,Female,64,20
A0511,18,Male,122,85
A0512,33,Female,188,2
A0513,35,Female,139,33
A0514,77,Female,46,69
A0515,70,Female,21,90
A0516,28,Female,54,77
A0517,35,Female,89,59
A0518,64,Male,93,8
A0519,39,Female,24,24
A0520,22,Female,28,14
A0521,90,Male,118,42
A0522,41,Male,22,9
A0523,74,Male,53,23
A0524,87,Male,54,94
A0525,33,Male,57,80
A0526,30,Female,173,84
A0527,84,Male,170,47
A0528,60,Male,172,79
A0529,79,Male,123,66
A0530,39,Female,192,72
A0531,84,Male,35,66
A0532,90,Male,42,94
A0533,62,Male,180,48
A0534,24,Male,70,17
A0535,51,Female,37,43
A0536,18,Male,149,57
A0537,31,Female,160,83
A0538,20,Female,138,4
A0539,52,Female,103,48
A0540,34,Male,49,34
A0541,20,Female,75,22
A0542,59,Male,136,91
A0543,86,Female,118,98
A0544,76,Female,130,98
A0545,48,Female,49,27
A0546,29,Female,170,77
A0547,40,Male,55,16
A0548,27,Female,112,95
A0549,48,Male,171,8
A0550,86,Male,145,25
A0551,75,Male,129,21
A0552,38,Female,163,85
A0553,74,Male,22,98
A0554,35,Female,195,71
A0555,83,Male,197,38
A0556,58,Female,126,34
A0557,51,Male,77,43
A0558,19,Female,23,20
A0559,41,Male,68,37
A0560,76,Male,102,27
A0561,43,Female,122,94
A0562,35,Female,120,94
A0563,20,Male,149,1
A0564,35,Male,33,15
A0565,65,Male,186,51
A0566,90,Female,106,91
A0567,49,Male,197,33
A0568,56,Female,195,9
A0569,72,Male,152,59
A0570,56,Male,135,73
A0571,47,Female,76,30
A0572,24,Male,198,100
A0573,30,Female,174,78
A0574,22,Male,194,76
A0575,78,Male,38,48
A0576,68,Female,30,8
A0577,19,Female,95,93
A0578,56,Female,33,43
A0579,66,Female,134,59
A0580,53,Female,173,52
A0581,82,Male,94,88
A0582,30,Female,78,95
A0583,79,Female,155,1
A0584,19,Female,122,46
A0585,74,Male,198,31
A0586,29,Male,48,53
A0587,85,Female,130,37
A0588,38,Female,176,1
A0589,23,Female,174,85
A0590,83,Female,194,55
A0591,64,Female,115,67
A0592,58,Female,92,42
A0593,39,Female,172,6
A0594,26,Female,154,57
A0595,86,Female,105,68
A0596,63,Female,138,95
A0597,44,Male,120,55
A0598,46,Female,111,71
A0599,37,Male,170,75
A0600,40,Female,122,23
